# English collocation frequencies derived from the Open American
# National Corpus (OANC), public domain. Built by
# scripts/build_en_collocations.py — see data/collocations/README.md.
# docs=8805 words=18303304 pairs=73744 min_frequency=5
head	collocate	frequency	relation
fast	pay	27	adjective_noun
federal	level	27	adjective_noun
federal	policy	27	adjective_noun
fee	filing	27	noun_noun
fernando	san	27	noun_noun
fill	form	27	verb_object
final	version	27	adjective_noun
financial	officers	27	noun_noun
flight	school	27	noun_noun
folk	old	27	adjective_noun
follow	treatment	27	verb_object
food	italian	27	adjective_noun
force	join	27	verb_object
foundation	heritage	27	noun_noun
free	survival	27	adjective_noun
friedman	thomas	27	noun_noun
fun	make	27	verb_object
function	mitochondrial	27	adjective_noun
functional	protein	27	adjective_noun
gary	hart	27	noun_noun
gas	greenhouse	27	noun_noun
gene	inducible	27	adjective_noun
gene	pathway	27	noun_noun
gene	response	27	noun_noun
general	principle	27	adjective_noun
generally	think	27	adverb_verb
generous	gift	27	adjective_noun
george	lucas	27	noun_noun
german	shepherd	27	adjective_noun
gold	particle	27	noun_noun
good	investment	27	adjective_noun
good	produce	27	verb_object
good	sell	27	verb_object
good	spot	27	adjective_noun
good	use	27	adjective_noun
good	writer	27	adjective_noun
government	try	27	verb_subject
great	opportunity	27	adjective_noun
great	story	27	adjective_noun
great	way	27	adjective_noun
green	tea	27	adjective_noun
group	special	27	adjective_noun
guess	probably	27	adverb_verb
gun	hand	27	noun_noun
gun	law	27	noun_noun
health	state	27	noun_noun
hear	people	27	verb_subject
high	rating	27	adjective_noun
high	wage	27	adjective_noun
history	personal	27	adjective_noun
hotspot	recombination	27	noun_noun
house	small	27	adjective_noun
hubbell	webster	27	noun_noun
hugo	victor	27	noun_noun
hum	read	27	verb_object
human	immunodeficiency	27	adjective_noun
human	subject	27	adjective_noun
hydrophobic	residue	27	noun_noun
hyperglycemic	syndrome	27	adjective_noun
hypothalamic	pomc	27	adjective_noun
identical	virtually	27	adverb_verb
identify	practice	27	verb_object
identify	target	27	verb_object
imply	result	27	verb_subject
import	nuclear	27	adjective_noun
important	potentially	27	adverb_verb
improve	system	27	verb_object
include	question	27	verb_object
independent	say	27	verb_subject
individual	member	27	adjective_noun
individual	right	27	adjective_noun
industry	pharmaceutical	27	noun_noun
information	systems	27	noun_noun
input	total	27	adjective_noun
instrument	musical	27	adjective_noun
introns	table	27	noun_noun
jones	lee	27	noun_noun
kid	need	27	verb_subject
label	open	27	adjective_noun
language	learn	27	verb_object
large	structure	27	adjective_noun
laureate	nobel	27	noun_noun
law	professor	27	noun_noun
law	project	27	noun_noun
lead	treatment	27	verb_subject
leave	reader	27	verb_object
library	screen	27	verb_object
like	stuff	27	verb_object
limitation	permeability	27	noun_noun
litmus	test	27	noun_noun
live	sister	27	verb_subject
local	program	27	adjective_noun
longitudinal	study	27	adjective_noun
lose	people	27	verb_subject
lose	war	27	verb_object
love	people	27	verb_subject
mail	non	27	adjective_noun
mail	processing	27	noun_noun
mandela	nelson	27	noun_noun
matrix	metalloproteinase	27	noun_noun
mean	usually	27	adverb_verb
medical	service	27	adjective_noun
meeting	president	27	noun_noun
member	qaeda	27	noun_noun
method	traditional	27	adjective_noun
mexican	restaurant	27	adjective_noun
millennium	new	27	adjective_noun
mission	support	27	verb_object
model	reporting	27	noun_noun
monde	say	27	verb_subject
money	put	27	verb_object
motion	slow	27	adjective_noun
mouse	mutant	27	adjective_noun
national	news	27	adjective_noun
national	strategy	27	adjective_noun
national	study	27	noun_noun
need	system	27	verb_subject
need	urgent	27	adjective_noun
newspaper	report	27	verb_subject
nomination	presidential	27	adjective_noun
notice	publish	27	verb_object
number	report	27	verb_subject
number	represent	27	verb_object
old	style	27	adjective_noun
online	version	27	adjective_noun
open	wide	27	adverb_verb
order	place	27	verb_object
organization	provide	27	verb_subject
oxley	sarbanes	27	noun_noun
paper	recent	27	adjective_noun
parent	work	27	verb_subject
pass	time	27	verb_subject
personal	use	27	adjective_noun
phrase	use	27	verb_object
piece	times	27	noun_noun
place	right	27	adjective_noun
place	special	27	adjective_noun
play	sport	27	verb_object
post	world	27	adjective_noun
preliminary	study	27	adjective_noun
premium	wage	27	noun_noun
probably	work	27	adverb_verb
produce	signal	27	verb_object
protein	putative	27	adjective_noun
protein	tmc	27	noun_noun
put	times	27	verb_subject
reaction	transcription	27	noun_noun
read	word	27	verb_object
real	reason	27	adjective_noun
red	sea	27	noun_noun
reduce	substantially	27	adverb_verb
repeat	unit	27	noun_noun
report	special	27	adjective_noun
report	tax	27	noun_noun
report	use	27	verb_object
represent	sequence	27	verb_object
requirement	satisfy	27	verb_object
respiratory	symptom	27	adjective_noun
right	want	27	verb_object
right	winger	27	adjective_noun
river	valley	27	noun_noun
roll	welfare	27	noun_noun
sample	type	27	noun_noun
scientist	social	27	adjective_noun
security	specialist	27	noun_noun
security	treasury	27	noun_noun
set	small	27	adjective_noun
small	subset	27	adjective_noun
spread	word	27	verb_object
stand	take	27	verb_object
standard	work	27	noun_noun
station	train	27	noun_noun
study	subsequent	27	adjective_noun
suggest	work	27	verb_subject
take	turn	27	verb_object
take	view	27	verb_object
transfection	transient	27	adjective_noun
university	washington	27	noun_noun
view	wonderful	27	adjective_noun
western	world	27	adjective_noun
access	wheelchair	26	noun_noun
accident	aircraft	26	noun_noun
activator	transcriptional	26	adjective_noun
activist	right	26	noun_noun
activity	atp	26	noun_noun
activity	enhance	26	verb_object
activity	level	26	noun_noun
additional	sequence	26	adjective_noun
admit	clinton	26	verb_subject
admit	patient	26	verb_subject
advanced	technology	26	adjective_noun
advisor	lay	26	adjective_noun
advocacy	group	26	noun_noun
affairs	governmental	26	noun_noun
affect	change	26	verb_subject
agarose	electrophoresis	26	noun_noun
agency	funding	26	noun_noun
agent	anti	26	adjective_noun
air	fresh	26	adjective_noun
aircraft	hijacked	26	adjective_noun
altered	expression	26	adjective_noun
american	city	26	adjective_noun
american	league	26	noun_noun
analysis	describe	26	verb_subject
analysis	previous	26	adjective_noun
analysis	probit	26	noun_noun
analysis	require	26	verb_object
analysis	use	26	verb_subject
analysis	way	26	noun_noun
angle	iridocorneal	26	noun_noun
annual	income	26	adjective_noun
anthony	lane	26	noun_noun
anti	goat	26	noun_noun
anti	group	26	adjective_noun
antique	shop	26	noun_noun
apart	set	26	adverb_verb
area	total	26	adjective_noun
arnold	schwarzenegger	26	noun_noun
array	wide	26	adjective_noun
arthur	brian	26	noun_noun
article	claim	26	verb_subject
article	review	26	noun_noun
assistant	counsel	26	noun_noun
association	strong	26	adjective_noun
attend	conference	26	verb_object
author	suggest	26	verb_subject
available	currently	26	adverb_verb
background	level	26	noun_noun
bang	big	26	noun_noun
barnes	fred	26	noun_noun
basketball	player	26	noun_noun
bedroom	house	26	noun_noun
begin	soon	26	adverb_verb
begin	story	26	verb_subject
belief	religious	26	adjective_noun
benefit	estimate	26	noun_noun
benefit	reap	26	verb_object
beta	blocker	26	noun_noun
big	mistake	26	adjective_noun
big	sister	26	noun_noun
big	trouble	26	adjective_noun
bind	ligand	26	verb_object
biofilm	formation	26	noun_noun
blast	result	26	noun_noun
blood	test	26	noun_noun
board	national	26	noun_noun
board	reserve	26	noun_noun
body	ciliary	26	adjective_noun
boom	economic	26	adjective_noun
bootstrap	support	26	noun_noun
bowel	disease	26	noun_noun
brad	pitt	26	noun_noun
brainstem	human	26	adjective_noun
branch	length	26	noun_noun
break	rule	26	verb_object
bridge	cross	26	verb_object
british	english	26	adjective_noun
bruce	willis	26	noun_noun
bud	taste	26	noun_noun
budget	congressional	26	noun_noun
business	run	26	verb_object
business	world	26	noun_noun
calcium	perfusate	26	noun_noun
calculate	ratio	26	verb_object
call	editorial	26	verb_subject
camera	ccd	26	noun_noun
camp	labor	26	noun_noun
camp	summer	26	noun_noun
campaign	manager	26	noun_noun
campaign	run	26	verb_object
card	greeting	26	noun_noun
card	pledge	26	noun_noun
card	send	26	verb_object
carrey	jim	26	noun_noun
case	studies	26	noun_noun
cash	pay	26	verb_object
causal	relationship	26	adjective_noun
cause	loss	26	verb_object
cell	confluent	26	noun_noun
cell	embryonic	26	adjective_noun
cell	generate	26	verb_object
cell	shape	26	noun_noun
center	historic	26	adjective_noun
century	mansion	26	noun_noun
challenge	dose	26	noun_noun
challenge	new	26	adjective_noun
change	include	26	verb_object
change	job	26	verb_object
characteristic	key	26	adjective_noun
chief	officers	26	noun_noun
child	love	26	verb_subject
chip	hugenefl	26	noun_noun
christmas	present	26	noun_noun
christmas	tree	26	noun_noun
chronic	illness	26	adjective_noun
cio	federal	26	adjective_noun
civil	trial	26	adjective_noun
class	low	26	adjective_noun
class	myosin	26	noun_noun
clearly	state	26	adverb_verb
closely	link	26	adverb_verb
cole	uss	26	noun_noun
come	family	26	verb_subject
come	man	26	verb_subject
come	maybe	26	adverb_verb
community	rural	26	adjective_noun
community	serve	26	verb_object
comparison	perform	26	verb_object
complex	temple	26	noun_noun
component	key	26	adjective_noun
concentration	contain	26	verb_object
congress	intend	26	verb_subject
congressional	leader	26	adjective_noun
conspiracy	wing	26	noun_noun
consumer	demand	26	noun_noun
contain	genome	26	verb_subject
contain	level	26	verb_object
contain	museum	26	verb_subject
contain	report	26	verb_subject
contract	sign	26	verb_object
contribute	factor	26	verb_subject
control	pollution	26	noun_noun
cool	pretty	26	adverb_verb
core	value	26	noun_noun
cortisol	level	26	noun_noun
cost	reflect	26	verb_object
coverage	page	26	noun_noun
create	incentive	26	verb_object
critic	literary	26	adjective_noun
current	density	26	adjective_noun
current	smoker	26	adjective_noun
cytoplasmic	expression	26	adjective_noun
cytoplasmic	tail	26	adjective_noun
database	est	26	noun_noun
database	protein	26	noun_noun
datum	interpret	26	verb_object
day	memorial	26	noun_noun
deae	dextran	26	noun_noun
debate	political	26	adjective_noun
decide	finally	26	adverb_verb
decrease	rate	26	verb_object
deficit	federal	26	adjective_noun
delivery	friday	26	noun_noun
delivery	point	26	noun_noun
democratic	nomination	26	adjective_noun
demonstrate	effect	26	verb_object
deprivation	sleep	26	noun_noun
develop	mouse	26	verb_subject
develop	patient	26	verb_subject
dictionary	house	26	noun_noun
difference	represent	26	verb_subject
different	rate	26	adjective_noun
different	sequence	26	adjective_noun
different	state	26	adjective_noun
dinner	table	26	noun_noun
direction	new	26	adjective_noun
directly	measure	26	adverb_verb
discuss	later	26	adverb_verb
distribute	widely	26	adverb_verb
dmsa	promoter	26	noun_noun
dna	human	26	adjective_noun
dna	test	26	noun_noun
domain	encode	26	verb_object
domain	phosphatase	26	noun_noun
dose	receive	26	verb_object
doubt	little	26	adjective_noun
draft	sequence	26	noun_noun
drop	percent	26	noun_noun
early	event	26	adjective_noun
early	life	26	adjective_noun
eat	lunch	26	verb_object
editor	executive	26	noun_noun
effect	include	26	verb_object
effect	random	26	adjective_noun
element	identify	26	verb_object
elliot	floyd	26	noun_noun
elutriation	fraction	26	noun_noun
emergency	response	26	noun_noun
end	result	26	noun_noun
endogenous	response	26	adjective_noun
envelope	protein	26	noun_noun
equal	value	26	adjective_noun
estimate	parameter	26	verb_object
european	newspaper	26	adjective_noun
event	recombination	26	noun_noun
exist	long	26	adverb_verb
experimental	result	26	adjective_noun
experimental	system	26	adjective_noun
explain	nyt	26	verb_subject
explanation	likely	26	adjective_noun
explore	possibility	26	verb_object
expression	surface	26	noun_noun
facility	new	26	adjective_noun
family	small	26	adjective_noun
far	few	26	adverb_verb
fat	high	26	adjective_noun
federal	organization	26	adjective_noun
fee	legal	26	adjective_noun
feel	pain	26	verb_object
file	neads	26	noun_noun
find	home	26	verb_object
fluorescence	signal	26	noun_noun
flux	water	26	noun_noun
foreign	intelligence	26	adjective_noun
form	newly	26	adverb_verb
foster	vince	26	noun_noun
fracture	hip	26	noun_noun
fragment	genomic	26	adjective_noun
fragment	terminal	26	adjective_noun
functional	property	26	adjective_noun
functional	significance	26	adjective_noun
fund	receive	26	verb_object
fund	revolving	26	adjective_noun
funding	provide	26	verb_object
game	good	26	adjective_noun
games	olympic	26	noun_noun
gene	immediate	26	adjective_noun
gene	predict	26	verb_object
generally	speak	26	adverb_verb
genome	large	26	adjective_noun
genome	mouse	26	noun_noun
george	mitchell	26	noun_noun
george	wallace	26	noun_noun
give	job	26	verb_object
glenn	john	26	noun_noun
goal	primary	26	adjective_noun
good	kid	26	adjective_noun
good	person	26	adjective_noun
good	right	26	adverb_verb
good	situation	26	adjective_noun
good	solution	26	adjective_noun
government	saudi	26	adjective_noun
government	support	26	verb_subject
grade	low	26	adjective_noun
group	join	26	verb_object
guy	tough	26	adjective_noun
happy	real	26	adverb_verb
headline	say	26	verb_subject
health	information	26	noun_noun
hearing	impeachment	26	noun_noun
highly	unlikely	26	adverb_verb
homage	pay	26	verb_object
home	motor	26	noun_noun
home	state	26	noun_noun
hotel	offer	26	verb_subject
house	whip	26	noun_noun
housing	public	26	adjective_noun
hum	play	26	verb_object
human	race	26	adjective_noun
include	plan	26	verb_subject
increase	pressure	26	verb_object
information	valuable	26	adjective_noun
input	provide	26	verb_object
inquirer	philadelphia	26	noun_noun
insert	sequence	26	adjective_noun
interesting	particularly	26	adverb_verb
interview	papd	26	noun_noun
interview	tenet	26	noun_noun
island	large	26	adjective_noun
island	main	26	adjective_noun
issue	moral	26	adjective_noun
issue	real	26	adjective_noun
jack	shafer	26	noun_noun
jackson	laboratory	26	noun_noun
junction	splice	26	noun_noun
kinase	pathway	26	noun_noun
king	street	26	noun_noun
large	region	26	adjective_noun
large	sample	26	adjective_noun
large	town	26	adjective_noun
law	tax	26	noun_noun
lean	retailer	26	adjective_noun
leap	quantum	26	noun_noun
lee	wen	26	noun_noun
level	trophic	26	adjective_noun
library	peptide	26	noun_noun
lie	tell	26	verb_object
life	new	26	adjective_noun
life	stage	26	noun_noun
life	year	26	noun_noun
list	word	26	noun_noun
long	talk	26	adverb_verb
luciferase	reporter	26	noun_noun
maennerchor	society	26	noun_noun
maintain	program	26	verb_object
maintain	system	26	verb_object
man	powerful	26	adjective_noun
management	personnel	26	noun_noun
management	project	26	noun_noun
marilyn	monroe	26	noun_noun
marital	status	26	adjective_noun
market	new	26	adjective_noun
mechanical	ventilation	26	adjective_noun
medium	minimal	26	adjective_noun
million	spend	26	verb_object
minister	russian	26	adjective_noun
model	multivariate	26	noun_noun
model	old	26	adjective_noun
model	support	26	verb_object
money	send	26	verb_object
money	use	26	verb_object
monitoring	system	26	noun_noun
mouse	nude	26	adjective_noun
movie	old	26	adjective_noun
multiple	time	26	adjective_noun
museum	whitney	26	noun_noun
mutation	result	26	verb_subject
mycobacterium	tuberculosis	26	noun_noun
narrow	range	26	adjective_noun
non	test	26	adjective_noun
nuclear	staining	26	adjective_noun
nursing	staff	26	noun_noun
observation	previous	26	adjective_noun
ocho	rios	26	noun_noun
off	trade	26	noun_noun
oil	olive	26	noun_noun
oligo	probe	26	adjective_noun
oocyte	xenopus	26	noun_noun
operator	sewing	26	noun_noun
orthologous	protein	26	adjective_noun
paper	publish	26	verb_object
paramount	pictures	26	noun_noun
pattern	suggest	26	verb_subject
pay	period	26	noun_noun
pay	probably	26	adverb_verb
payment	process	26	noun_noun
penn	state	26	noun_noun
phylogenetic	relationship	26	adjective_noun
physiologic	rss	26	adjective_noun
place	public	26	adjective_noun
political	reason	26	adjective_noun
porto	santo	26	noun_noun
practice	standard	26	adjective_noun
president	russian	26	adjective_noun
pretty	scary	26	adverb_verb
pretty	small	26	adverb_verb
previous	section	26	adjective_noun
price	sale	26	noun_noun
primer	set	26	noun_noun
probably	talk	26	adverb_verb
program	research	26	noun_noun
program	statewide	26	adjective_noun
program	treatment	26	noun_noun
protein	yeast	26	noun_noun
public	trust	26	adjective_noun
pundit	think	26	verb_subject
queen	victoria	26	noun_noun
rat	young	26	adjective_noun
recent	relatively	26	adverb_verb
reduce	use	26	verb_object
reference	sample	26	noun_noun
relationship	sexual	26	adjective_noun
revenue	total	26	adjective_noun
richard	schickel	26	noun_noun
role	similar	26	adjective_noun
run	usat	26	verb_subject
sample	small	26	adjective_noun
say	time	26	verb_subject
self	sufficiency	26	noun_noun
sign	treaty	26	verb_object
similar	study	26	adjective_noun
similarity	structural	26	adjective_noun
skiing	water	26	noun_noun
speak	strictly	26	adverb_verb
strain	type	26	noun_noun
strom	thurmond	26	noun_noun
subsequent	year	26	adjective_noun
tell	wife	26	verb_object
tom	wolfe	26	noun_noun
access	deny	25	verb_object
accounting	cost	25	noun_noun
accounting	firm	25	noun_noun
accounting	profession	25	noun_noun
act	reorganization	25	noun_noun
activation	receptor	25	noun_noun
activity	endogenous	25	adjective_noun
activity	terrorist	25	adjective_noun
actually	try	25	adverb_verb
acute	care	25	adjective_noun
acute	phase	25	adjective_noun
additional	time	25	adjective_noun
additive	effect	25	adjective_noun
advantage	offer	25	verb_object
advantage	population	25	noun_noun
aerobics	class	25	noun_noun
affymetrix	genechip	25	noun_noun
africa	saharan	25	noun_noun
afternoon	sunday	25	noun_noun
agar	plate	25	noun_noun
agent	infectious	25	adjective_noun
aggregate	receptor	25	noun_noun
ago	read	25	adverb_verb
agree	participant	25	verb_subject
aid	job	25	noun_noun
aid	organization	25	noun_noun
allow	time	25	verb_object
alm	migration	25	noun_noun
american	movie	25	noun_noun
amino	group	25	noun_noun
analysis	facs	25	noun_noun
analysis	find	25	verb_subject
analysis	repeat	25	verb_object
analysis	similar	25	adjective_noun
andy	warhol	25	noun_noun
answer	phone	25	verb_object
anti	system	25	adjective_noun
appear	gene	25	verb_subject
apply	principle	25	verb_object
approval	require	25	verb_object
area	study	25	noun_noun
argue	critic	25	verb_subject
array	hybridization	25	noun_noun
article	journal	25	noun_noun
aside	leave	25	adverb_verb
assay	immunosorbent	25	adjective_noun
assay	shift	25	noun_noun
assembly	general	25	noun_noun
assess	impact	25	verb_object
assistance	public	25	adjective_noun
attachment	cell	25	noun_noun
attitude	change	25	verb_object
attorney	defense	25	noun_noun
attraction	popular	25	adjective_noun
authority	budget	25	noun_noun
authorization	payment	25	noun_noun
average	national	25	adjective_noun
award	contract	25	noun_noun
away	tuck	25	adverb_verb
axis	longitudinal	25	adjective_noun
bad	taste	25	adjective_noun
bad	time	25	adjective_noun
bag	sleeping	25	noun_noun
bahama	grand	25	noun_noun
barak	minister	25	noun_noun
base	broad	25	adverb_verb
beautiful	place	25	adjective_noun
beautifully	restore	25	adverb_verb
bed	dvh	25	noun_noun
beer	drink	25	verb_object
bennett	robert	25	noun_noun
big	fish	25	adjective_noun
bilingual	education	25	adjective_noun
birth	size	25	noun_noun
bit	good	25	adjective_noun
black	hole	25	adjective_noun
blade	leaf	25	noun_noun
block	gene	25	noun_noun
blood	human	25	adjective_noun
bob	novak	25	noun_noun
bond	market	25	noun_noun
bonferroni	correction	25	noun_noun
book	like	25	verb_object
book	old	25	adjective_noun
break	scandal	25	verb_subject
brief	period	25	adjective_noun
bureau	chief	25	noun_noun
bus	school	25	noun_noun
business	partner	25	noun_noun
business	practice	25	noun_noun
busy	pretty	25	adverb_verb
call	papd	25	noun_noun
campaign	political	25	adjective_noun
cancer	smr	25	noun_noun
candida	colonization	25	noun_noun
capacity	factor	25	noun_noun
carcinoma	squamous	25	adjective_noun
cardiovascular	factor	25	adjective_noun
carry	responsibility	25	verb_object
carvell	click	25	noun_noun
case	certain	25	adjective_noun
case	incident	25	noun_noun
caucasian	woman	25	adjective_noun
cell	form	25	verb_subject
cell	jurkat	25	noun_noun
cell	nucleus	25	noun_noun
cell	undifferentiated	25	adjective_noun
center	resource	25	noun_noun
central	point	25	adjective_noun
cerebral	cortex	25	adjective_noun
certain	number	25	adjective_noun
certain	time	25	adjective_noun
certain	way	25	adjective_noun
championship	win	25	verb_object
change	design	25	noun_noun
change	dramatically	25	adverb_verb
change	hum	25	verb_object
change	single	25	adjective_noun
charge	face	25	verb_object
charles	krauthammer	25	noun_noun
charter	school	25	noun_noun
chemical	company	25	noun_noun
cheney	meeting	25	noun_noun
choice	give	25	verb_object
circadian	rhythm	25	adjective_noun
civil	servant	25	adjective_noun
class	repeat	25	noun_noun
class	second	25	adjective_noun
clearance	security	25	noun_noun
clearly	indicate	25	adverb_verb
clinical	event	25	adjective_noun
clinton	presidency	25	noun_noun
clinton	propose	25	verb_subject
clone	est	25	noun_noun
close	inspection	25	adjective_noun
closely	look	25	adverb_verb
coast	northern	25	adjective_noun
cold	mountain	25	noun_noun
collection	include	25	verb_subject
college	small	25	adjective_noun
comedy	romantic	25	adjective_noun
command	wtc	25	noun_noun
commander	mission	25	noun_noun
comment	page	25	noun_noun
commission	state	25	verb_subject
committee	deputies	25	noun_noun
committee	honorable	25	adjective_noun
common	language	25	adjective_noun
compare	level	25	verb_object
compare	rate	25	verb_object
complete	questionnaire	25	verb_object
complexity	low	25	adjective_noun
concentration	intracellular	25	adjective_noun
condition	reaction	25	noun_noun
confirm	presence	25	verb_object
congress	consider	25	verb_subject
constraint	functional	25	adjective_noun
construct	model	25	verb_object
construction	equipment	25	noun_noun
construction	permit	25	noun_noun
contain	hcl	25	verb_object
content	protein	25	noun_noun
contribution	political	25	adjective_noun
control	gene	25	noun_noun
control	glycemic	25	adjective_noun
convey	information	25	verb_object
coordinate	usm	25	noun_noun
corporate	governance	25	adjective_noun
cost	exceed	25	verb_object
cost	incur	25	verb_object
cost	service	25	noun_noun
count	platelet	25	noun_noun
creek	spring	25	noun_noun
culture	early	25	adjective_noun
culture	organizational	25	adjective_noun
culture	suspension	25	noun_noun
culture	system	25	noun_noun
damon	matt	25	noun_noun
dataset	expression	25	noun_noun
datum	human	25	adjective_noun
day	recent	25	adjective_noun
delay	whip	25	noun_noun
deliver	speech	25	verb_object
delivery	gene	25	noun_noun
delivery	saturday	25	noun_noun
demand	weekly	25	adjective_noun
dental	school	25	adjective_noun
dental	student	25	adjective_noun
dependent	pathway	25	adjective_noun
deputy	minister	25	noun_noun
des	moines	25	noun_noun
describe	essentially	25	adverb_verb
descriptive	statistic	25	adjective_noun
design	dose	25	noun_noun
desperately	need	25	adverb_verb
detailed	discussion	25	adjective_noun
determination	sex	25	noun_noun
die	later	25	adverb_verb
diet	free	25	adjective_noun
diet	high	25	adjective_noun
difference	identify	25	verb_object
difference	real	25	adjective_noun
different	environment	25	adjective_noun
different	function	25	adjective_noun
different	view	25	adjective_noun
differentiate	terminally	25	adverb_verb
directly	interact	25	adverb_verb
directly	report	25	adverb_verb
disease	invasive	25	adjective_noun
disease	stage	25	noun_noun
distinct	group	25	adjective_noun
dna	strand	25	noun_noun
dodecyl	sulfate	25	noun_noun
domain	lack	25	verb_object
door	neighbor	25	noun_noun
dox	treatment	25	noun_noun
drive	minute	25	noun_noun
dynasty	tang	25	noun_noun
edition	metro	25	noun_noun
effect	model	25	noun_noun
effect	net	25	adjective_noun
effective	system	25	adjective_noun
electrophoretic	mobility	25	adjective_noun
element	promoter	25	noun_noun
emergency	management	25	noun_noun
end	opposite	25	adjective_noun
end	usually	25	adverb_verb
end	western	25	adjective_noun
entire	sequence	25	adjective_noun
entirely	new	25	adverb_verb
essential	role	25	adjective_noun
establish	goal	25	verb_object
eukaryotic	protein	25	adjective_noun
example	set	25	verb_object
exception	notable	25	adjective_noun
experiment	replicate	25	adjective_noun
experiment	single	25	adjective_noun
exponential	growth	25	adjective_noun
express	specifically	25	adverb_verb
express	stably	25	adverb_verb
expression	measure	25	verb_object
extended	family	25	adjective_noun
factor	leiden	25	noun_noun
factor	nuclear	25	adjective_noun
fairly	large	25	adverb_verb
falwell	jerry	25	noun_noun
family	nuclear	25	adjective_noun
far	right	25	adverb_verb
federal	standards	25	noun_noun
female	mouse	25	adjective_noun
figaro	say	25	verb_subject
films	miramax	25	noun_noun
final	stage	25	adjective_noun
find	lot	25	verb_object
finding	recent	25	adjective_noun
fold	induction	25	adjective_noun
follow	practice	25	verb_object
football	league	25	noun_noun
forest	rain	25	noun_noun
fragment	length	25	noun_noun
fraud	report	25	verb_object
free	zone	25	adjective_noun
fun	poke	25	verb_object
function	renal	25	adjective_noun
functionally	important	25	adverb_verb
fund	publicly	25	adverb_verb
funding	increase	25	verb_object
gene	homologous	25	adjective_noun
gene	orthologous	25	adjective_noun
gene	subset	25	noun_noun
gene	tmc	25	noun_noun
general	standard	25	adjective_noun
genome	melanogaster	25	noun_noun
genome	wide	25	adverb_verb
girl	scouting	25	noun_noun
glucose	high	25	adjective_noun
goat	serum	25	noun_noun
good	money	25	adjective_noun
good	review	25	adjective_noun
government	spend	25	verb_subject
governor	texas	25	noun_noun
gramm	phil	25	noun_noun
great	job	25	adjective_noun
greatly	increase	25	adverb_verb
green	light	25	adjective_noun
ground	war	25	noun_noun
group	minority	25	noun_noun
grow	slowly	25	adverb_verb
half	time	25	adjective_noun
hand	try	25	verb_object
haul	long	25	adjective_noun
hazard	ratio	25	noun_noun
health	improve	25	verb_object
health	study	25	noun_noun
heel	high	25	adjective_noun
hersh	seymour	25	noun_noun
hexamer	random	25	adjective_noun
high	pay	25	adjective_noun
hip	ratio	25	noun_noun
history	trace	25	verb_object
holbrooke	richard	25	noun_noun
hold	position	25	verb_object
home	repair	25	noun_noun
homeless	people	25	adjective_noun
hotchkiss	jon	25	noun_noun
house	member	25	noun_noun
huge	number	25	adjective_noun
hum	look	25	verb_object
identify	organization	25	verb_subject
imaging	resonance	25	noun_noun
immigrant	legal	25	adjective_noun
immunoreactivity	show	25	verb_object
impact	negative	25	adjective_noun
impeachable	offense	25	adjective_noun
include	model	25	verb_subject
include	section	25	verb_subject
include	use	25	verb_object
increase	substantial	25	adjective_noun
increase	use	25	verb_subject
industrial	revolution	25	noun_noun
information	present	25	verb_object
inhibit	significantly	25	adverb_verb
initial	response	25	adjective_noun
ins	record	25	noun_noun
inspection	service	25	noun_noun
intellectual	public	25	adjective_noun
intensity	value	25	noun_noun
intestine	small	25	adjective_noun
involve	mechanism	25	verb_subject
item	veto	25	noun_noun
jerusalem	west	25	noun_noun
job	real	25	adjective_noun
jonbenet	ramsey	25	noun_noun
jones	say	25	verb_subject
judge	rule	25	verb_subject
key	step	25	adjective_noun
kind	right	25	adjective_noun
king	luther	25	noun_noun
king	martin	25	noun_noun
kit	purification	25	noun_noun
know	number	25	verb_object
know	parent	25	verb_subject
know	place	25	verb_object
know	problem	25	verb_object
later	tell	25	adverb_verb
later	write	25	adverb_verb
layer	ozone	25	noun_noun
leaf	litter	25	noun_noun
leave	message	25	verb_object
leave	panel	25	verb_object
level	molecular	25	adjective_noun
level	remain	25	verb_subject
library	national	25	noun_noun
life	wonderful	25	adjective_noun
line	phone	25	noun_noun
linear	trend	25	adjective_noun
lip	service	25	noun_noun
live	parent	25	verb_subject
log	phase	25	noun_noun
loop	structure	25	noun_noun
loss	suffer	25	verb_object
low	temperature	25	adjective_noun
major	point	25	adjective_noun
management	strategy	25	noun_noun
mark	spot	25	verb_object
marker	single	25	adjective_noun
market	small	25	adjective_noun
maybe	start	25	adverb_verb
mean	necessarily	25	adverb_verb
mechanism	provide	25	verb_object
medical	profession	25	adjective_noun
medium	otitis	25	noun_noun
melting	pot	25	noun_noun
membrane	mitochondrial	25	adjective_noun
mention	previously	25	adverb_verb
merging	repeat	25	noun_noun
military	operation	25	adjective_noun
model	parameter	25	noun_noun
model	rna	25	noun_noun
money	provide	25	verb_object
motion	picture	25	noun_noun
mountain	rocky	25	noun_noun
mouse	tissue	25	noun_noun
mouse	young	25	adjective_noun
mrna	sequence	25	noun_noun
mutation	rate	25	noun_noun
need	service	25	verb_object
negotiation	peace	25	noun_noun
nerve	sciatic	25	adjective_noun
new	place	25	adjective_noun
niro	robert	25	noun_noun
non	region	25	adjective_noun
noun	proper	25	adjective_noun
obtain	visa	25	verb_object
obvious	reason	25	adjective_noun
off	play	25	noun_noun
office	printing	25	noun_noun
official	security	25	noun_noun
old	person	25	adjective_noun
oligonucleotide	primer	25	noun_noun
